Kanji,Furigana,Meaning,Level
傍ら,かたわら,"beside(s), while, nearby",N1
課題,かだい,"subject, theme, task",N1
花壇,かだん,flower bed,N1
家畜,かちく,"domestic animals, livestock, cattle",N1
画期,かっき,epoch-making,N1
活発,かっぱつ,"vigor, active",N1
且つ,かつ,"yet, and",N1
割,かつ,"divide, cut, halve, separate, split, rip, break, crack, smash, dilute",N1
嘗て,かつて,"once, ever",N1
日付,かづけ,"date, dating",N1
門,かど,gate,N1
叶う,かなう,to come true (wish),N1
叶える,かなえる,to grant (request wish),N1
金槌,かなづち,"1. (iron) hammer, 2. punishment",N1
鉄棒,かなぼう,"iron rod, crowbar, horizontal bar (gymnastics)",N1
可成,かなり,"considerably, fairly, quite",N1
加入,かにゅう,"becoming a member, joining, entry, admission, subscription, affiliation, adherence, signing",N1
金庫,かねぐら,"safe, vault, treasury, provider of funds",N1
予言,かねごと,"prediction, promise, prognostication",N1
兼ねて,かねて,simultaneously,N1
下番,かばん,going off duty,N1
下品,かひん,inferior article,N1
華美,かび,"pomp, splendor, gaudiness",N1
花粉,かふん,pollen,N1
株式,かぶしき,stock (company),N1
気触れる,かぶれる,"to react to, to be influenced by, to go overboard for",N1
貨幣,かへい,"money, currency, coinage",N1
構え,かまえ,"posture, pose, style",N1
構える,かまえる,to set up,N1
加味,かみ,"seasoning, flavoring",N1
噛み切る,かみきる,"to bite off, to gnaw through",N1
過密,かみつ,crowded,N1
瓶,かめ,earthenware pot,N1
かも知れない,かもしれない,"may, might, perhaps, may be, possibly",N1
粥,かゆ,(rice) gruel,N1
痒い,かゆい,"itchy, itching",N1
揶揄う,からかう,"to ridicule, to tease, to banter with, to make fun of",N1
身体,からだ,the body,N1
体付き,からだつき,"body build, figure",N1
絡む,からむ,"to entangle, to entwine",N1
借り,かり,"borrowing, debt, loan",N1
下吏,かり,lower official,N1
加留多,かるた,(pt:) (n) playing cards (pt: carta),N1
涸れる,かれる,"to dry up, to run out",N1
過労,かろう,"overwork, strain",N1
辛うじて,かろうじて,"barely, narrowly, just manage to do st",N1
側,かわ,"side, row, surroundings, part, (watch) case",N1
可愛い,かわいい,"pretty, cute, lovely, charming, dear, darling, pet",N1
可愛がる,かわいがる,"to love, to be affectionate",N1
可哀想,かわいそう,"poor, pitiable, pathetic",N1
可愛らしい,かわいらしい,"lovely, sweet",N1
交わす,かわす,"to exchange (messages), to dodge, to parry, to avoid, to turn aside",N1
代わる,かわる,"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take",N1
代わる代わる,かわるがわる,alternately,N1
乾,かん,"heaven, emperor",N1
管,かん,"pipe, tube",N1
幹,かん,(tree) trunk,N1
冠,かん,"crown, diadem, first, best, peerless, cap, naming, designating, initiating on coming of age, top character ra",N1
観,かん,"look, appearance, spectacle",N1
館,かん,"house, hall, building, hotel, inn, guesthouse",N1
簡易,かんい,"simplicity, easiness, quasi-",N1
感慨,かんがい,"strong feelings, deep emotion",N1
寒気,かんき,"cold, frost, chill",N1
簡潔,かんけつ,"brevity, conciseness, simplicity",N1
還元,かんげん,"resolution, reduction, return to origins",N1
刊行,かんこう,"publication, issue",N1
慣行,かんこう,"customary practice, habit, traditional event",N1
勧告,かんこく,"advice, counsel, remonstrance, recommendation",N1
看護,かんご,"nursing, (army) nurse",N1
漢語,かんご,"Chinese word, Sino-Japanese word",N1
換算,かんさん,"conversion, change, exchange",N1
監視,かんし,"observation, guarding, inspection, surveillance",N1
慣習,かんしゅう,usual (historical) custom,N1
観衆,かんしゅう,"spectators, onlookers, members of the audience",N1
干渉,かんしょう,"interference, intervention",N1
感触,かんしょく,"sense of touch, feeling, sensation",N1
肝心,かんじん,"essential, fundamental, crucial, vital, main",N1
歓声,かんせい,"cheer, shout of joy",N1
感染,かんせん,"infection, contagion",N1
幹線,かんせん,"main line, trunk line",N1
関税,かんぜい,"customs, duty, tariff",N1
簡素,かんそ,"simplicity, plain",N1
観点,かんてん,point of view,N1
感度,かんど,"sensitivity, severity (quake)",N1
幹部,かんぶ,"management, (executive) staff, leaders",N1
勘弁,かんべん,"pardon, forgiveness, forbearance",N1
完璧,かんぺき,"perfection, completeness, flawless",N1
感無量,かんむりょう,"deep feeling, inexpressible feeling, filled with emotion",N1
勧誘,かんゆう,"invitation, solicitation, canvassing, inducement, persuasion, encouragement",N1
関与,かんよ,"participation, taking part in, participating in, being concerned in",N1
慣用,かんよう,"common, customary",N1
寛容,かんよう,"forbearance, tolerance, generosity",N1
観覧,かんらん,viewing,N1
官僚,かんりょう,"bureaucrat, bureaucracy",N1
慣例,かんれい,"custom, precedent, of convention",N1
還暦,かんれき,60th birthday,N1
貫禄,かんろく,"presence, dignity",N1
緩和,かんわ,"relief, mitigation",N1
蓋,がい,"cover, lid, cap",N1
街,がい,"~street, ~quarters",N1
外貨,がいか,"imported goods, foreign money",N1
外観,がいかん,"appearance, exterior, facade",N1
外相,がいしょう,Foreign Minister,N1
害する,がいする,"to injure, to damage, to harm, to kill, to hinder",N1
概説,がいせつ,"general statement, outline",N1
該当,がいとう,"corresponding, answering to, coming under",N1
街頭,がいとう,in the street,N1
概念,がいねん,"general idea, concept, notion",N1
外来,がいらい,"imported, outpatient clinic",N1
概略,がいりゃく,"outline, summary, gist, in brief",N1
学芸,がくげい,"arts and sciences, liberal arts",N1
学士,がくし,university graduate,N1
学説,がくせつ,theory,N1
楽譜,がくふ,score (music),N1
学歴,がくれき,academic background,N1
崖,がけ,cliff,N1
雅致,がち,"artistry, good taste, elegance, grace",N1
,がっくり,heartbroken,N1
合唱,がっしょう,"chorus, singing in a chorus",N1
,がっしり,"firmly, solidly, tough",N1
合致,がっち,"agreement, concurrence, conforming to",N1
,がっちり,"solidly built, tightly, shrewd, calculating",N1
月日,がっぴ,(the) date,N1
合併,がっぺい,"combination, union, amalgamation, consolidation, merger, coalition, fusion, annexation, affiliation, incorpor",N1
,がる,feel,N1
側,がわ,"side, row, surroundings, part, (watch) case",N1
癌,がん,cancer,N1
眼科,がんか,ophthalmology,N1
眼球,がんきゅう,eyeball,N1
眼鏡,がんきょう,"spectacles, glasses",N1
頑固,がんこ,"stubbornness, obstinacy",N1
願書,がんしょ,written application or petition,N1
頑丈,がんじょう,"solid, firm, stout, burly, strong, sturdy",N1
岩石,がんせき,rock,N1
元年,がんねん,first year (of a specific reign),N1
贋物,がんぶつ,"imitation, counterfeit, forgery, sham",N1
元来,がんらい,"originally, primarily, essentially, logically, naturally",N1
生,き,"pure, undiluted, raw, crude",N1
期,き,"period, time",N1
企画,きかく,"planning, project",N1
規格,きかく,"standard, norm",N1
着飾る,きかざる,to dress up,N1
器官,きかん,"organ (of body), instrument",N1
季刊,きかん,quarterly (e.g. magazine),N1
危害,きがい,"injury, harm, danger",N1
気兼ね,きがね,"hesitance, diffidence, feeling constraint, fear of troubling someone, having scruples about doing someth",N1
気軽,きがる,"cheerful, buoyant, lighthearted",N1
危機,きき,crisis,N1
聞き取り,ききとり,listening comprehension,N1
効き目,ききめ,"effect, virtue, efficacy, impression",N1
帰京,ききょう,returning to Tokyo,N1
基金,ききん,"fund, foundation",N1
棄権,きけん,"abstain from voting, renunciation of a right",N1
喜劇,きげき,"comedy, funny show",N1
起源,きげん,"origin, beginning, rise",N1
機構,きこう,"mechanism, organization",N1
既婚,きこん,"marriage, married",N1
記載,きさい,"mention, entry",N1
気障,きざ,"affectation, conceit, snobbery",N1
兆し,きざし,"signs, omen, symptoms",N1
兆,きざし,"signs, omen, symptoms",N1
軋む,きしむ,"to jar, to creak, to grate",N1
気象,きしょう,"weather, climate",N1
期日,きじつ,"fixed date, settlement date",N1
記述,きじゅつ,"describing, descriptor",N1
奇数,きすう,odd number,N1
築く,きずく,"to build, to pile up, to amass",N1
傷付く,きずつく,"to be hurt, to be wounded, to get injured",N1
規制,きせい,regulation,N1
汽船,きせん,steamship,N1
寄贈,きそう,"donation, presentation",N1
貴族,きぞく,"noble, aristocrat",N1
鍛える,きたえる,"to forge, to drill, to temper, to train, to discipline",N1
来る,きたる,"to come, to arrive, to be due to, to be next, to be forthcoming",N1
気立て,きだて,"disposition, nature",N1
,きちっと,"exactly, perfectly",N1
几帳面,きちょうめん,"methodical, punctual, steady",N1
切っ掛け,きっかけ,"chance, start, cue, excuse, motive, impetus, occasion",N1
,きっかり,"exactly, precisely",N1
喫茶,きっさ,"tea drinking, tea house",N1
,きっちり,"precisely, tightly",N1
屹度,きっと,"1. (uk) surely, undoubtedly, certainly, without fail, 2. sternly, severely",N1
,きっぱり,"clearly, plainly, distinctly",N1
規定,きてい,"regulation, provisions",N1
起点,きてん,starting point,N1
軌道,きどう,"orbit, railroad track",N1
甲,きのえ,"1st in rank, first sign of the Chinese calendar, shell, instep, grade A",N1
気配,きはい,"indication, market trend, worry",N1
規範,きはん,"model, standard, pattern, norm, criterion, example",N1
気品,きひん,aroma,N1
気風,きふう,"character, traits, ethos",N1
起伏,きふく,undulation,N1
規模,きぼ,"scale, scope, plan, structure",N1
気まぐれ,きまぐれ,"whim, caprice, whimsy, fickle, moody, uneven temper",N1
生真面目,きまじめ,"too serious, person who is too serious, honesty, sincerity",N1
期末,きまつ,end of term,N1
決まり悪い,きまりわるい,"feeling awkward, being ashamed",N1
決まる,きまる,"to be decided, to be settled, to look good in (clothes)",N1
記名,きめい,"signature, register",N1
脚色,きゃくしょく,dramatization (e.g. film),N1
脚本,きゃくほん,scenario,N1
客観,きゃっかん,objective,N1
規約,きやく,"agreement, rules, code",N1
救援,きゅうえん,"relief, rescue, reinforcement",N1
休学,きゅうがく,"temporary absence from school, suspension",N1
究極,きゅうきょく,"ultimate, final, eventual",N1
窮屈,きゅうくつ,"narrow, tight, stiff, rigid, uneasy, formal, constrained",N1
球根,きゅうこん,(plant) bulb,N1
救済,きゅうさい,"relief, aid, rescue, salvation, help",N1
給食,きゅうしょく,"school lunch, providing a meal",N1
給仕,きゅうじ,"office boy (girl), page, waiter",N1
休戦,きゅうせん,"truce, armistice",N1
旧知,きゅうち,"old friend, old friendship",N1
宮殿,きゅうでん,palace,N1
窮乏,きゅうぼう,poverty,N1
丘陵,きゅうりょう,hill,N1
共,きょう,"both, neither (neg), all, and, as well as, including, with, together with, plural ending",N1
供,きょう,"offer, present, submit, serve (a meal), supply",N1
驚異,きょうい,"wonder, miracle",N1
教員,きょういん,teaching staff,N1
教科,きょうか,"subject, curriculum",N1
協会,きょうかい,"association, society, organization",N1
共感,きょうかん,"sympathy, response",N1
共学,きょうがく,coeducation,N1
協議,きょうぎ,"conference, consultation, discussion, negotiation",N1
教訓,きょうくん,"lesson, precept, moral instruction",N1
境遇,きょうぐう,"environment, circumstances",N1
強行,きょうこう,"forcing, enforcement",N1
強硬,きょうこう,"firm, vigorous, unbending, unyielding, strong, stubborn",N1
凶作,きょうさく,"bad harvest, poor crop",N1
共産,きょうさん,communism,N1
教材,きょうざい,teaching materials,N1
教習,きょうしゅう,"training, instruction",N1
郷愁,きょうしゅう,"nostalgia, homesickness",N1
教職,きょうしょく,"teaching certificate, the teaching profession",N1
享受,きょうじゅ,"reception, acceptance, enjoyment, being given",N1
興じる,きょうじる,"to amuse oneself, to make merry",N1
強制,きょうせい,"obligation, coercion, compulsion, enforcement",N1
共存,きょうそん,coexistence,N1
姉妹,きょうだい,sisters,N1
協調,きょうちょう,"co-operation, conciliation, harmony, firm (market) tone",N1
協定,きょうてい,"arrangement, pact, agreement",N1
脅迫,きょうはく,"threat, menace, coercion, terrorism",N1
